Year	Month	Date	Production	Product2014
1961	Jan	1961.04	398.71	
1961	Feb	1961.13	407.14	
1961	March	1961.21	425.81	
1961	April	1961.29	440.00	
1961	May	1961.38	469.35	
1961	June	1961.46	498.00	
1961	July	1961.54	438.39	
1961	Aug	1961.63	432.58	
1961	Sept	1961.71	438.00	
1961	Oct	1961.79	433.55	
1961	Nov	1961.88	419.00	
1961	Dec	1961.96	422.90	
1962	Jan	1962.04	443.23	
1962	Feb	1962.13	452.14	
1962	March	1962.21	460.65	
1962	April	1962.29	485.00	
1962	May	1962.38	515.81	
1962	June	1962.46	506.00	
1962	July	1962.54	450.00	
1962	Aug	1962.63	451.94	
1962	Sept	1962.71	448.00	
1962	Oct	1962.79	445.16	
1962	Nov	1962.88	438.00	
1962	Dec	1962.96	433.55	
1963	Jan	1963.04	438.39	
1963	Feb	1963.13	443.57	
1963	March	1963.21	446.13	
1963	April	1963.29	469.00	
1963	May	1963.38	496.45	
1963	June	1963.46	496.00	
1963	July	1963.54	454.84	
1963	Aug	1963.63	460.65	
1963	Sept	1963.71	450.00	
1963	Oct	1963.79	459.68	
1963	Nov	1963.88	449.00	
1963	Dec	1963.96	448.06	
1964	Jan	1964.04	450.00	
1964	Feb	1964.13	463.45	
1964	March	1964.21	474.19	
1964	April	1964.29	488.00	
1964	May	1964.38	514.84	
1964	June	1964.46	502.00	
1964	July	1964.54	463.55	
1964	Aug	1964.63	467.42	
1964	Sept	1964.71	479.00	
1964	Oct	1964.79	455.81	
1964	Nov	1964.88	448.00	
1964	Dec	1964.96	457.74	
1965	Jan	1965.04	459.68	
1965	Feb	1965.13	459.64	
1965	March	1965.21	465.48	
1965	April	1965.29	471.00	
1965	May	1965.38	485.81	
1965	June	1965.46	487.00	
1965	July	1965.54	443.23	
1965	Aug	1965.63	450.00	
1965	Sept	1965.71	454.00	
1965	Oct	1965.79	439.35	
1965	Nov	1965.88	421.00	
1965	Dec	1965.96	417.10	
1966	Jan	1966.04	416.13	
1966	Feb	1966.13	416.79	
1966	March	1966.21	427.74	
1966	April	1966.29	434.00	
1966	May	1966.38	444.19	
1966	June	1966.46	452.00	
1966	July	1966.54	405.48	
1966	Aug	1966.63	409.35	
1966	Sept	1966.71	418.00	
1966	Oct	1966.79	396.77	
1966	Nov	1966.88	387.00	
1966	Dec	1966.96	385.16	
1967	Jan	1967.04	388.06	
1967	Feb	1967.13	386.79	
1967	March	1967.21	392.90	
1967	April	1967.29	404.00	
1967	May	1967.38	412.26	
1967	June	1967.46	422.00	
1967	July	1967.54	389.03	
1967	Aug	1967.63	384.19	
1967	Sept	1967.71	385.00	
1967	Oct	1967.79	367.74	
1967	Nov	1967.88	353.00	
1967	Dec	1967.96	357.10	
1968	Jan	1968.04	360.00	
1968	Feb	1968.13	363.10	
1968	March	1968.21	368.71	
1968	April	1968.29	382.00	
1968	May	1968.38	397.74	
1968	June	1968.46	406.00	
1968	July	1968.54	379.35	
1968	Aug	1968.63	382.26	
1968	Sept	1968.71	381.00	
1968	Oct	1968.79	376.45	
1968	Nov	1968.88	360.00	
1968	Dec	1968.96	361.94	
1969	Jan	1969.04	358.06	
1969	Feb	1969.13	368.57	
1969	March	1969.21	372.58	
1969	April	1969.29	383.00	
1969	May	1969.38	395.81	
1969	June	1969.46	409.00	
